country,year,F_phys,L,R,E,GDP,GDP_per_capita,regulation,export_control,prod_ai
USA,2020,2.7388,2.8795,1.0000,71.4000,25.8677,77.6030,0.3000,0.0000,1.2766
USA,2021,5.3406,3.0234,1.0000,74.8000,26.3850,79.1551,0.3000,0.0000,1.6543
USA,2022,10.4142,3.1746,1.0000,78.2000,26.9127,80.7382,0.3000,0.0000,2.3569
USA,2023,20.3077,3.3333,1.0000,81.6000,27.4510,82.3529,0.3000,0.0000,3.1992
USA,2024,39.6000,3.5000,1.0000,85.0000,28.0000,84.0000,0.3000,0.0000,3.9542
Chine,2020,0.2732,3.9490,0.6000,77.2800,16.3521,11.5481,0.5000,0.0000,0.5789
Chine,2021,0.3005,4.1464,0.6000,80.9600,16.6791,11.7790,0.5000,0.0000,0.8163
Chine,2022,0.3306,4.3537,0.2000,84.6400,17.0127,12.0146,0.5000,1.0000,1.0872
Chine,2023,0.3306,4.5714,0.2000,88.3200,17.3529,12.2549,0.5000,1.0000,1.4809
Chine,2024,0.3306,4.8000,0.2000,92.0000,17.7000,12.5000,0.5000,1.0000,1.9488
Allemagne,2020,0.1131,1.5631,1.0000,123.2000,4.1573,49.5181,0.5500,0.0000,0.4946
Allemagne,2021,0.1640,1.6413,1.0000,127.4000,4.2405,50.5085,0.5500,0.0000,0.6657
Allemagne,2022,0.2378,1.7234,1.0000,196.0000,4.3253,51.5186,0.5500,0.0000,0.8798
Allemagne,2023,0.3448,1.8095,1.0000,168.0000,4.4118,52.5490,0.5500,0.0000,1.2254
Allemagne,2024,0.5000,1.9000,1.0000,140.0000,4.5000,53.6000,0.5500,0.0000,1.6224
France,2020,0.4741,1.2341,1.0000,101.2000,2.7715,41.0187,0.5500,0.0000,0.5869
France,2021,0.7111,1.2958,1.0000,104.6500,2.8270,41.8391,0.5500,0.0000,0.8221
France,2022,1.0667,1.3605,1.0000,161.0000,2.8835,42.6759,0.5500,0.0000,1.0660
France,2023,1.6000,1.4286,1.0000,138.0000,2.9412,43.5294,0.5500,0.0000,1.5207
France,2024,2.4000,1.5000,1.0000,115.0000,3.0000,44.4000,0.5500,0.0000,1.9970
UK,2020,0.2715,1.4809,1.0000,167.2000,3.1411,46.1923,0.4500,0.0000,0.5391
UK,2021,0.3936,1.5549,1.0000,172.9000,3.2039,47.1161,0.4500,0.0000,0.7169
UK,2022,0.5707,1.6327,1.0000,266.0000,3.2680,48.0584,0.4500,0.0000,1.0241
UK,2023,0.8276,1.7143,1.0000,228.0000,3.3333,49.0196,0.4500,0.0000,1.3273
UK,2024,1.2000,1.8000,1.0000,190.0000,3.4000,50.0000,0.4500,0.0000,1.7769
