Country,Indicator,Year,Value
AFG,NGDP_R,2002,183.26
AFG,NGDP_R,2003,198.736
AFG,NGDP_R,2004,200.069
AFG,NGDP_R,2005,223.737
AFG,NGDP_R,2006,235.731
AFG,NGDP_R,2007,267.177
AFG,NGDP_R,2008,277.498
AFG,NGDP_R,2009,334.621
AFG,NGDP_R,2010,362.857
AFG,NGDP_R,2011,386.368
AFG,NGDP_R,2012,440.336
AFG,NGDP_R,2013,456.453
AFG,NGDP_R,2014,463.455
AFG,NGDP_R,2015,479.649
AFG,NGDP_R,2016,503.234
AFG,NGDP_R,2017,533.465
AFG,NGDP_R,2018,563.193
AFG,NGDP_R,2019,596.182
AFG,NGDP_R,2020,627.511
AFG,NGDP_RPCH,2003,8.444
AFG,NGDP_RPCH,2004,0.671
AFG,NGDP_RPCH,2005,11.83
AFG,NGDP_RPCH,2006,5.361
AFG,NGDP_RPCH,2007,13.34
AFG,NGDP_RPCH,2008,3.863
AFG,NGDP_RPCH,2009,20.585
AFG,NGDP_RPCH,2010,8.438
AFG,NGDP_RPCH,2011,6.479
AFG,NGDP_RPCH,2012,13.968
AFG,NGDP_RPCH,2013,3.66
AFG,NGDP_RPCH,2014,1.534
AFG,NGDP_RPCH,2015,3.494
AFG,NGDP_RPCH,2016,4.917
AFG,NGDP_RPCH,2017,6.007
AFG,NGDP_RPCH,2018,5.573
AFG,NGDP_RPCH,2019,5.858
AFG,NGDP_RPCH,2020,5.255
AFG,NGDP,2002,181.605
AFG,NGDP,2003,220.013
AFG,NGDP,2004,246.21
AFG,NGDP,2005,304.926
AFG,NGDP,2006,345.817
AFG,NGDP,2007,427.495
AFG,NGDP,2008,517.509
AFG,NGDP,2009,607.227
AFG,NGDP,2010,711.759
AFG,NGDP,2011,836.222
AFG,NGDP,2012,1033.591
AFG,NGDP,2013,1114.649
AFG,NGDP,2014,1165.605
AFG,NGDP,2015,1250.023
AFG,NGDP,2016,1382.709
AFG,NGDP,2017,1535.283
AFG,NGDP,2018,1699.171
AFG,NGDP,2019,1884.765
AFG,NGDP,2020,2081.098
AFG,NGDPD,2002,4.437
AFG,NGDPD,2003,4.514
AFG,NGDPD,2004,5.146
AFG,NGDPD,2005,6.167
AFG,NGDPD,2006,6.925
AFG,NGDPD,2007,8.556
AFG,NGDPD,2008,10.297
AFG,NGDPD,2009,12.066
AFG,NGDPD,2010,15.325
AFG,NGDPD,2011,17.89
AFG,NGDPD,2012,20.296
AFG,NGDPD,2013,20.13
AFG,NGDPD,2014,20.312
AFG,NGDPD,2015,21.526
AFG,NGDPD,2016,21.638
AFG,NGDPD,2017,23.599
AFG,NGDPD,2018,25.451
AFG,NGDPD,2019,27.321
AFG,NGDPD,2020,29.132
AFG,NGDP_D,2002,99.097
AFG,NGDP_D,2003,110.706
AFG,NGDP_D,2004,123.063
AFG,NGDP_D,2005,136.288
AFG,NGDP_D,2006,146.7
AFG,NGDP_D,2007,160.005
AFG,NGDP_D,2008,186.491
AFG,NGDP_D,2009,181.467
AFG,NGDP_D,2010,196.154
AFG,NGDP_D,2011,216.432
AFG,NGDP_D,2012,234.728
AFG,NGDP_D,2013,244.198
AFG,NGDP_D,2014,251.503
AFG,NGDP_D,2015,260.612
AFG,NGDP_D,2016,274.764
AFG,NGDP_D,2017,287.795
AFG,NGDP_D,2018,301.703
AFG,NGDP_D,2019,316.139
AFG,NGDP_D,2020,331.643
AFG,NGDPRPC,2002,8275.518
AFG,NGDPRPC,2003,8597.264
AFG,NGDPRPC,2004,8329.717
AFG,NGDPRPC,2005,8999.553
AFG,NGDPRPC,2006,9197.003
AFG,NGDPRPC,2007,10139.832
AFG,NGDPRPC,2008,10265.448
AFG,NGDPRPC,2009,12076.603
AFG,NGDPRPC,2010,12777.657
AFG,NGDPRPC,2011,13274.739
AFG,NGDPRPC,2012,14764.22
AFG,NGDPRPC,2013,14941.186
AFG,NGDPRPC,2014,14817.045
AFG,NGDPRPC,2015,14985.769
AFG,NGDPRPC,2016,15371.095
AFG,NGDPRPC,2017,15938.121
AFG,NGDPRPC,2018,16466.177
AFG,NGDPRPC,2019,17065.466
AFG,NGDPRPC,2020,17593.613
AFG,NGDPPC,2002,8200.773
AFG,NGDPPC,2003,9517.718
AFG,NGDPPC,2004,10250.788
AFG,NGDPPC,2005,12265.321
AFG,NGDPPC,2006,13491.991
AFG,NGDPPC,2007,16224.188
